ts	run	board	white	black	result	plies	wpc	bpc	wms	bms	wcpu	bcpu	wmv	bmv	wnod	bnod	wed	bed	wsn	bsn	seed	par
2026-07-26T21:40:15Z	20260726T214015Z	boards/board1.txt	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.dil(r63)@1.opener(rand,4)@1	ab(d2)@1.classic(t1,c4,w0,l0)@2.opener(rand,4)@1	B	40	11	15	92.046	0.160	62.500	0.000	20	20	238648	2272	24.00	32.00	4	16	2142477832	12
2026-07-26T21:40:15Z	20260726T214015Z	boards/board1.txt	ab(d6,tt,ord,nb200k)@1.learned(s3,68364898)@1.opener(rand,4)@1	ab(d2)@1.classic(t1,c4,w0,l0)@2.opener(rand,4)@1	W	47	12	12	638.273	0.235	640.625	0.000	24	23	1923025	2793	106.00	36.00	20	19	3636366873	12
2026-07-26T21:40:16Z	20260726T214015Z	boards/board1.txt	ab(d6,tt,ord,nb200k)@1.learned(s98,5801570e)@1.opener(rand,4)@1	ab(d2)@1.classic(t1,c4,w0,l0)@2.opener(rand,4)@1	W	57	11	14	874.829	0.335	796.875	0.000	29	28	2683990	4158	136.81	46.00	25	24	1735136034	12
2026-07-26T21:40:16Z	20260726T214015Z	boards/board1.txt	rand@1	ab(d2)@1.classic(t1,c4,w0,l0)@2.opener(rand,4)@1	B	24	12	16	0.010	0.063	0.000	0.000	12	12	0	778	0.00	16.00	0	8	1834763847	12
2026-07-26T21:40:16Z	20260726T214015Z	boards/board1.txt	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.dil(r63)@1.opener(rand,4)@1	ab(d4)@1.classic(t1,c4,w0,l0)@2.opener(rand,4)@1	B	26	15	15	129.060	3.607	93.750	15.625	13	13	310142	58307	30.00	36.00	5	9	1443100234	12
2026-07-26T21:40:17Z	20260726T214015Z	boards/board1.txt	ab(d6,tt,ord,nb200k)@1.learned(s3,68364898)@1.opener(rand,4)@1	ab(d4)@1.classic(t1,c4,w0,l0)@2.opener(rand,4)@1	W	53	11	11	879.863	10.794	703.125	15.625	27	26	2532869	161963	121.98	81.00	23	22	2208758015	12
2026-07-26T21:40:18Z	20260726T214015Z	boards/board1.txt	ab(d6,tt,ord,nb200k)@1.learned(s98,5801570e)@1.opener(rand,4)@1	ab(d4)@1.classic(t1,c4,w0,l0)@2.opener(rand,4)@1	W	57	8	11	657.587	8.278	546.875	0.000	29	28	2020166	123130	135.82	89.00	25	24	4093265224	12
2026-07-26T21:40:18Z	20260726T214015Z	boards/board1.txt	rand@1	ab(d4)@1.classic(t1,c4,w0,l0)@2.opener(rand,4)@1	B	20	12	16	0.007	1.279	0.000	0.000	10	10	0	18884	0.00	24.00	0	6	2733181501	12
2026-07-26T21:40:19Z	20260726T214015Z	boards/board1.txt	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.opener(rand,4)@1	ab(d6,ord,nb200k)@1.adv(t20,c77,w0,l0,f0,d-2,e0,m0,h0,b1,o0,r0,x0,n0,s1,g1)@1.opener(rand,4)@1	W	82	6	6	473.296	1135.787	453.125	1000.000	41	41	1435577	3086136	213.00	206.92	37	37	2994100390	12
2026-07-26T21:40:21Z	20260726T214015Z	boards/board1.txt	ab(d6,tt,ord,nb200k)@1.learned(s6,eac8ab99)@1.opener(rand,4)@1	ab(d6,ord,nb200k)@1.adv(t20,c77,w0,l0,f0,d-2,e0,m0,h0,b1,o0,r0,x0,n0,s1,g1)@1.opener(rand,4)@1	B	53	9	12	606.755	1166.204	500.000	1046.875	27	26	1887499	2963536	124.00	122.64	23	22	4205863310	12
2026-07-26T21:40:23Z	20260726T214015Z	boards/board1.txt	ab(d6,tt,ord,qs,nb200k)@1.learned(s98,5801570e)@1.opener(rand,4)@1	ab(d6,ord,nb200k)@1.adv(t20,c77,w0,l0,f0,d-2,e0,m0,h0,b1,o0,r0,x0,n0,s1,g1)@1.opener(rand,4)@1	B	56	9	10	846.723	1236.529	718.750	1109.375	28	28	2468445	3130940	128.25	127.86	24	24	3750467176	12
