rank	elo	pm	games	wins	losses	white_wins	white_losses	black_wins	black_losses	avg_plies	ms_move	cpu_ms_move	nodes_move	eff	active	id
123	714	12	1120	616	504	311	249	305	255	42.4	0.165	0.229	3979	91	on	ab(d4)@1.classic(t1,c4,w0,l0)@2.dil(r5)@1
124	714	19	504	254	250	146	106	108	144	47.7	0.759	0.743	14615	75	gone	ab(d4)@1.exp(t1,c4,w0,l0,f1)@1
125	714	25	196	109	87	54	44	55	43	47.6	1.298	0.897	1649	73	gone	ab(d4,tt,ord,nb200k)@1.learned(s11,e2d2f5da)@1
126	714	25	196	109	87	53	45	56	42	47.5	1.296	0.996	1625	72	gone	ab(d4,tt,ord,nb200k)@1.learned(s14,e7a789fe)@1
127	714	25	196	109	87	54	44	55	43	46.5	1.310	1.084	2017	71	gone	ab(d4,tt,ord,nb200k)@1.learned(s4,95b45b1f)@1
128	710	25	196	108	88	53	45	55	43	47.7	1.264	0.836	1631	73	gone	ab(d4,tt,ord,nb200k)@1.learned(s12,fc66af48)@1
129	710	24	318	155	163	86	73	69	90	37.4	5.211	7.812	28727	55	gone	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@1.dil(r18)@1
130	707	25	196	107	89	53	45	54	44	45.7	1.670	1.157	2158	69	gone	ab(d4,tt,ord,nb200k)@1.learned(s10,6153d426)@1
131	698	19	504	246	258	145	107	101	151	55.9	4.461	3.527	29876	59	gone	ab(d4)@1.classic(t2,c10,w3,l2)@1
132	697	16	664	286	378	142	190	144	188	44.6	0.608	0.563	2316	76	on	ab(d4,tt,ord,nb200k)@1.learned(s10,fead67b7)@1
133	692	25	196	103	93	50	48	53	45	46.9	1.103	0.887	1776	71	gone	ab(d4,tt,ord,nb200k)@1.learned(s5,70081fb7)@1
134	689	12	1120	584	536	300	260	284	276	53.8	1.668	2.770	17431	60	on	ab(d4)@1.exp(t20,c64,w0,l1,f15)@2
135	689	25	196	102	94	46	52	56	42	49.3	5.463	3.696	1358	58	gone	ab(d4,tt,ord,nb200k)@1.learned(s15,af04747f)@1
136	682	12	1120	575	545	240	320	335	225	42.3	0.048	0.080	1163	108	on	ab(d3)@1.classic(t1,c4,w0,l0)@2
137	681	16	664	275	389	139	193	136	196	46.1	0.457	0.452	1723	77	on	ab(d4,tt,ord,nb200k)@1.learned(s4,eb105733)@1
138	678	25	196	99	97	50	48	49	49	45.7	1.595	1.183	2146	66	gone	ab(d4,tt,ord,nb200k)@1.learned(s3,8603e15c)@1
139	678	19	504	236	268	138	114	98	154	47.4	0.807	0.753	15694	71	gone	ab(d4)@1.exp(t1,c4,w0,l0,f8)@1
140	676	16	664	272	392	126	206	146	186	43.3	0.404	0.372	1491	79	on	ab(d4,tt,ord,nb200k)@1.learned(s9,e5b3b014)@1
141	676	12	1120	568	552	285	275	283	277	44.8	1.955	3.421	9796	58	on	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.dil(r60,d3)@1
142	665	12	1120	554	566	278	282	276	284	41.5	5.559	8.372	28386	51	on	ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2.dil(r14)@1
143	660	12	1120	548	572	275	285	273	287	39.1	6.901	11.402	176919	49	on	ab(d6,noab,nb200k)@1.classic(t1,c4,w0,l0)@2
144	654	12	1120	540	580	264	296	276	284	40.5	4.728	7.706	116203	51	on	ab(d6,nb200k)@1.classic(t1,c4,w0,l0)@2.dil(r10)@1
145	649	25	196	91	105	46	52	45	53	48.0	6.240	4.956	1762	53	gone	ab(d4,tt,ord,nb200k)@1.learned(s23,1533231f)@1
146	649	25	196	91	105	46	52	45	53	49.0	6.262	4.835	1708	53	gone	ab(d4,tt,ord,nb200k)@1.learned(s25,64a11ec7)@1
147	645	25	196	90	106	44	54	46	52	47.1	9.199	7.787	1659	50	gone	ab(d4,tt,ord,nb200k)@1.learned(s34,93fd930c)@1
148	642	25	196	89	107	57	41	32	66	49.2	9.586	7.619	1610	50	gone	ab(d4,tt,ord,nb200k)@1.learned(s30,ba8efc12)@1
149	642	25	196	89	107	46	52	43	55	47.1	0.834	0.690	1567	68	gone	ab(d4,tt,ord,nb200k)@1.learned(s9,4d37b1f7)@1
150	638	25	196	88	108	46	52	42	56	47.0	5.948	4.652	1646	52	gone	ab(d4,tt,ord,nb200k)@1.learned(s24,d1e5f517)@1
151	638	12	1120	520	600	273	287	247	313	52.6	1.653	2.731	17288	56	on	ab(d4)@1.exp(t20,c65,w0,l1,f14)@2
