# book v1 (rank.exe bookgen)
# a (line owner): ab(d6,tt,ord,nb200k)@1.learned(s98,5801570e)@1
# b (target):     ab(d6,tt,ord,nb200k)@1.classic(t1,c4,w0,l0)@2
# board boards/board1.txt, max half-moves 60, A-won replays kept 25 of 32 (replay drift vs stored result: 12), entries 519, move conflicts 16
ae55baea4fef6676 1 2 2
ae77360dfc99ae9c 2 2 1
aea0627335e1fdae 3 7 2
af5c8a61fb7335b2 1 2 1
af8bf8cc9d46af7b 3 4 2
afa0970049160822 1 2 1
b23d1269784d0f7c 1 5 2
b2f60058bcc6024f 2 4 1
b323dbda557645c7 1 3 1
b35b5d560d5bf3ac 1 3 2
b3743aa6d6dc4e75 0 7 1
b3e736494fd1c48a 0 3 1
b427fb44346a6c8e 1 5 0
b43601f3ed4fd721 4 5 3
b446eecacb9f1839 5 1 4
b5dfa87ddac48305 6 5 5
b5efc418f5d2fbfd 5 2 4
b67d41f97b370206 4 6 3
b77a63eab8c46b6c 0 1 1
b7a1712ea64d12ce 4 7 5
b8d05d85dc6b6ecc 2 7 3
b9141dedb8c8f2df 4 2 3
b96a6641a6a040dd 1 6 0
b9b26f74a7e33065 1 4 1
b9f813791ddcd662 0 6 1
ba542d76967500c0 3 5 2
bb414d9d596e36b5 3 6 2
bbb0148c6fbadd21 3 1 2
bbcaedd07bf2159d 1 5 2
bbd8b305faf8f350 1 5 2
bbd8d71c34ae4dbd 2 6 1
bc2ad681d3ce6caf 1 4 0
bc41f57de6740e4e 3 2 4
be3fc0570a7bcf1c 4 7 5
be480084ae2c8a32 2 3 1
bec3d6347c3745e4 3 0 2
bf0dada1dca01c01 6 1 5
bf972a80a46110cb 2 6 1
bfad22cd440f214d 1 3 0
c08a0937eb8fde3e 2 3 1
c0bd7cd103f79b6c 5 7 4
c1bd751d4b3ac91f 4 5 3
c1c201fb8f0b408b 2 1 3
c24a8fbda160f523 0 5 1
c2bee8ffb26192c9 0 3 1
c3227e99054a1104 3 7 2
c334ef8129f7e488 2 7 2
c39e6d810de08762 2 6 1
c3c0a2641223a14f 3 5 3
c41418c2e391c259 4 1 3
c484cabb74cff9bf 1 2 2
c5a879c4006b9e2d 5 6 4
c5e1d74b95fc2eb7 1 3 1
c639b8c9dab524ca 5 7 4
c73957800545211b 0 6 0
c7750988a69eac90 5 2 4
c7fc7693380aa38f 2 2 1
c844a67d46da3bc4 0 4 1
c8e8e61e883ee0c0 1 6 0
c921b3689e2b6110 1 3 1
ca689bb27f31f76a 5 6 4
caf89a557a9a83c8 4 6 3
cb499890ffe26fb7 1 1 1
cbcd6109a1339790 2 7 2
cbd0cc4ddb6a3629 1 3 2
cbde86a7f334c076 1 1 0
cc593155ee27c444 0 3 1
ccb2273e9f47f8e6 0 1 1
ccd231ca29df8cfc 4 0 3
cd756a78cd2f1131 0 1 1
cdc5f2976bc815dd 2 1 1
ce1dc14b51830a23 1 3 1
ce5b013bf28ee57e 0 1 1
ce96353a18b94fb6 2 4 1
d01ee5a607907fbe 0 1 0
d1291f546ab47c07 3 0 2
d15a8812a707cf31 5 6 4
d1d4fabf81eab3ea 3 5 2
d2d45c442db0dec9 3 1 4
d3181c075c6273fa 2 5 1
d337e23695131b58 1 7 1
d3f188f7ee813db9 2 5 3
d4045ae06d2f2f95 4 3 3
d4fc4b9fea47db23 3 7 2
d53655f72bdd830b 2 3 2
d53db33a4585967f 5 6 4
d5dfcfe7c87f624c 1 3 0
d655a574e34e772c 3 0 3
d65b5e7f742a49ce 3 7 3
d66f1babf6a97ffb 0 2 1
d73c4c4796043329 2 4 1
d751e586afc6147f 1 6 2
d7ac31d74b027643 2 0 1
d7eb744d225503f8 5 0 5
d82d7e80538af212 0 5 1
d86a8ca39296a060 1 1 0
d8b6f0a8ebaa5d88 1 2 1
d8f9a384e3456286 1 1 2
d9017c738114f078 1 5 1
d9528c3430a87358 0 3 1
d982fc225c961f03 2 5 2
da2c918d7e884ae2 2 2 2
da3fc9dafd060a6a 4 1 4
db24ae233aea8f43 1 4 1
dbf533174191dc68 2 0 1
ddbb6e38c3f9ebfd 5 0 4
ddd548440b06d8b4 4 2 3
de1018ec795ae452 3 3 2
de37c867f2736e03 3 5 2
debcdbcedfdfd992 2 0 1
dfe033e7a2e9b289 4 6 3
e0089e2b70476714 2 1 1
e04593edb0a94eb9 5 2 4
e16ea758bcb069dd 1 4 0
e1a5f7cf44a35f7b 2 5 3
e20ec3ee917d4978 3 0 2
e21060e4c78441f9 4 0 3
e2ddbe6e4e2ab2bc 1 4 0
e34accf40da329ae 6 7 5
e3b7d06f5ec44b85 3 5 2
e5531ca041d90ba2 5 7 4
e5688db50fc00150 5 1 4
e59de5173041654b 1 2 0
e6b41cf7ba4dea7f 0 3 0
e6f3f4465e683964 1 4 0
e732a9e71d4e4ee1 2 3 1
e82ec050fc70aa9b 3 6 2
e8366b41023efcb2 5 6 4
e8dd5f66f7e67161 3 3 2
ea9bfd848f85ccb1 1 4 1
eaa3bd5605b4751a 1 4 1
eaacfae535d8a732 3 3 2
ebe3db2c0ef88564 1 6 0
ec89b2ff711a5e5b 0 4 0
ee50a09566215f75 0 3 1
ef02b73f25dc73d6 1 4 0
ef2c360e70b58b0a 1 1 1
ef73ea5887bd556d 2 6 1
ef95e8192bacc13b 3 3 2
f03bfdd173916ae9 4 2 3
f0cf554b57f395c4 1 4 0
f0d7afdb4565f9a0 1 5 0
f202e84c25198f61 4 6 3
f2809418b68e082e 0 6 0
f2892603de6e5bf6 1 5 2
f2bc2a9452011072 5 6 4
f2bed51aa2ef2028 6 7 5
f3658f03d730844b 4 2 3
f4005e387e2181f8 3 3 2
f4370fc744a426ef 3 6 4
f48204f305a1dfbe 0 6 0
f4d3fe42c3b88c69 0 5 1
f4d774568e33b013 2 5 2
f5373d10397e82dd 7 0 6
f67a601592e27ae5 4 0 3
f708faab0264e726 2 4 1
f717957fb5d47f7b 1 5 2
f8b6163cc30c3e80 3 6 2
f960fee6b011c586 1 2 0
f9879b849ee2f7d3 0 7 1
fa73d549bdb31d05 4 7 5
fa972b21b913133c 4 1 3
fb297fdd9f2cb717 4 1 3
fb2af72edf0ef762 3 0 2
fbb7c29ea1eea18d 6 1 5
fc4e747705fd169a 2 4 2
fc941866a76bb70f 3 5 2
fc9dabe936509b45 4 6 3
fd1b169ee4223f41 0 3 1
fd93b2b66ff521e2 3 3 2
fda623e7fa0606d6 1 6 0
fe095bbffa04729e 0 0 0
fe9bd222f5a2a19f 3 3 2
ff303af7e7e7264f 2 0 2
ff7df9265250b4a9 2 4 1
ff81f2c521e40879 1 5 2
ffc44ddd8f089ada 3 1 2
