# Gumbel-Zero mlp/conv architecture sweep (round 6) opener-division follow-up: every non-REF rung=4000 checkpoint (45 mlp + 45 conv) wrapped with each of the 4 non-openless CHAMPION.md categories' openers.
# elo/games/cpu_ms_move columns are from a PINNED screening fit against ranking/roster_screening_pool.txt: screening only, not certification. gaz(...) is not category-eligible for a title (CHAMPION.md one-head rule) -- this ranks candidates for a possible future certification push, per division.
block	modeltype	category	elo	elo_pm	games	cpu_ms_move	full_agent_id
M22	mlp	4book	733	19	432	4.621	gaz(sims=400,cvisit=1000,cscale=130,m=20)@1.learned(model=1497,e70c83a7,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1.opener(book,book=15)@1
M22	mlp	8book	754	19	432	4.569	gaz(sims=400,cvisit=1000,cscale=130,m=20)@1.learned(model=1497,e70c83a7,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1.opener(book,book=16)@1
M22	mlp	4random	741	19	432	4.157	gaz(sims=400,cvisit=1000,cscale=130,m=20)@1.learned(model=1497,e70c83a7,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1.opener(rand,moves=4)@1
M22	mlp	8random	617	22	432	3.324	gaz(sims=400,cvisit=1000,cscale=130,m=20)@1.learned(model=1497,e70c83a7,gumbel_self,joint,value_shape=129-32-1,policy_shape=9-32-1)@1.opener(rand,moves=8)@1
M23	mlp	4book	569	23	432	3.906	gaz(sims=500,cvisit=600,cscale=100,m=8)@1.learned(model=1501,5d29bdea,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1.opener(book,book=15)@1
M23	mlp	8book	595	22	432	3.976	gaz(sims=500,cvisit=600,cscale=100,m=8)@1.learned(model=1501,5d29bdea,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1.opener(book,book=16)@1
M23	mlp	4random	503	25	432	3.543	gaz(sims=500,cvisit=600,cscale=100,m=8)@1.learned(model=1501,5d29bdea,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1.opener(rand,moves=4)@1
M23	mlp	8random	368	30	432	2.726	gaz(sims=500,cvisit=600,cscale=100,m=8)@1.learned(model=1501,5d29bdea,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1.opener(rand,moves=8)@1
M24	mlp	4book	722	20	432	17.832	gaz(sims=400,cvisit=400,cscale=40,m=12)@1.learned(model=1505,a8abfdf3,gumbel_self,joint,value_shape=129-64-32-1,policy_shape=9-64-32-1)@1.opener(book,book=15)@1
M24	mlp	8book	708	20	432	17.599	gaz(sims=400,cvisit=400,cscale=40,m=12)@1.learned(model=1505,a8abfdf3,gumbel_self,joint,value_shape=129-64-32-1,policy_shape=9-64-32-1)@1.opener(book,book=16)@1
M24	mlp	4random	656	21	432	15.672	gaz(sims=400,cvisit=400,cscale=40,m=12)@1.learned(model=1505,a8abfdf3,gumbel_self,joint,value_shape=129-64-32-1,policy_shape=9-64-32-1)@1.opener(rand,moves=4)@1
M24	mlp	8random	528	24	432	11.964	gaz(sims=400,cvisit=400,cscale=40,m=12)@1.learned(model=1505,a8abfdf3,gumbel_self,joint,value_shape=129-64-32-1,policy_shape=9-64-32-1)@1.opener(rand,moves=8)@1
M25	mlp	4book	628	21	432	3.996	gaz(sims=500,cvisit=800,cscale=130,m=8)@1.learned(model=1509,dc1b6889,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1.opener(book,book=15)@1
M25	mlp	8book	656	21	432	3.957	gaz(sims=500,cvisit=800,cscale=130,m=8)@1.learned(model=1509,dc1b6889,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1.opener(book,book=16)@1
M25	mlp	4random	633	21	432	3.632	gaz(sims=500,cvisit=800,cscale=130,m=8)@1.learned(model=1509,dc1b6889,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1.opener(rand,moves=4)@1
M25	mlp	8random	541	24	432	2.793	gaz(sims=500,cvisit=800,cscale=130,m=8)@1.learned(model=1509,dc1b6889,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1.opener(rand,moves=8)@1
M26	mlp	4book	907	19	432	8.922	gaz(sims=400,cvisit=1000,cscale=130)@1.learned(model=1513,b1ebbba1,gumbel_self,joint,value_shape=129-64-1,policy_shape=9-64-1)@1.opener(book,book=15)@1
M26	mlp	8book	901	19	432	8.835	gaz(sims=400,cvisit=1000,cscale=130)@1.learned(model=1513,b1ebbba1,gumbel_self,joint,value_shape=129-64-1,policy_shape=9-64-1)@1.opener(book,book=16)@1
M26	mlp	4random	893	19	432	7.896	gaz(sims=400,cvisit=1000,cscale=130)@1.learned(model=1513,b1ebbba1,gumbel_self,joint,value_shape=129-64-1,policy_shape=9-64-1)@1.opener(rand,moves=4)@1
M26	mlp	8random	737	19	432	6.198	gaz(sims=400,cvisit=1000,cscale=130)@1.learned(model=1513,b1ebbba1,gumbel_self,joint,value_shape=129-64-1,policy_shape=9-64-1)@1.opener(rand,moves=8)@1
M27	mlp	4book	649	21	432	2.510	gaz(sims=300,cvisit=800,cscale=70,m=20)@1.learned(model=1517,597f9841,gumbel_self,joint,value_shape=129-16-1,policy_shape=9-16-1)@1.opener(book,book=15)@1
