# Gumbel-Zero mlp/conv architecture sweep (round 6) conv-capacity follow-up: C15's exact recipe (round 6's best conv checkpoint, 806 Elo) crossed with FC head {none,32} x policy head {linear,mlp} x 3 seeds.
# elo/games/cpu_ms_move/playstyle columns are from a PINNED screening fit against ranking/roster_screening_pool.txt: screening only, not certification.
# Generated by tools/export_cohort_results.ps1 from:
#   ledger:           D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\gumbelzero_conv_capacity.csv
#   pinned standings: D:\Downloads\Zeph\Board Games\Breakthrough\ranking\standings_screen_gzconvcap_pinned.tsv
#   pinned report:    D:\Downloads\Zeph\Board Games\Breakthrough\ranking\report_screen_gzconvcap_pinned.md
block	seed	modeltype	convchannels	mlphidden	policymlp	sims	lr	l2	replaycap	replaywarm	batch	open	cvisit	cscale	m	rung	slot	model	elo	elo_pm	games	cpu_ms_move	wl_as_white	wl_as_black	avg_plies	end_piece_margin	eff_elo_per_log2cpu	nodes_per_move	search_head_id	model_id	full_agent_id
conv_fc32_linPolicy	18975	conv	16,16,16	32	False	300	0.003	0	500	16	8	0	400	70	16	1500	1840	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1840.txt	810	19	432	79.368	103-113	114-102	50	0.3	50	0	gaz(sims=300,cvisit=400,cscale=70)@1	learned(model=1840,866ed813,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1840,866ed813,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
conv_fc32_linPolicy	18975	conv	16,16,16	32	False	300	0.003	0	500	16	8	0	400	70	16	4000	1841	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1841.txt	783	19	432	79.206	108-108	96-120	58	0.4	48	0	gaz(sims=300,cvisit=400,cscale=70)@1	learned(model=1841,c24f03a2,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1841,c24f03a2,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
conv_fc32_linPolicy	28975	conv	16,16,16	32	False	300	0.003	0	500	16	8	0	400	70	16	100	1842	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1842.txt	609	22	432	78.606	76-140	53-163	44	-0.7	37	0	gaz(sims=300,cvisit=400,cscale=70)@1	learned(model=1842,f9c83c5a,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1842,f9c83c5a,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
conv_fc32_linPolicy	28975	conv	16,16,16	32	False	300	0.003	0	500	16	8	0	400	70	16	400	1843	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1843.txt	631	21	432	78.200	61-155	76-140	49	-0.8	39	0	gaz(sims=300,cvisit=400,cscale=70)@1	learned(model=1843,55b541da,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1843,55b541da,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
conv_fc32_linPolicy	28975	conv	16,16,16	32	False	300	0.003	0	500	16	8	0	400	70	16	1500	1844	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1844.txt	656	21	432	78.326	70-146	77-139	49	-0.4	40	0	gaz(sims=300,cvisit=400,cscale=70)@1	learned(model=1844,1b6b2e5e,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1844,1b6b2e5e,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
conv_fc32_linPolicy	28975	conv	16,16,16	32	False	300	0.003	0	500	16	8	0	400	70	16	4000	1845	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1845.txt	806	19	432	79.226	85-131	130-86	48	-0.2	50	0	gaz(sims=300,cvisit=400,cscale=70)@1	learned(model=1845,d687fe09,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1845,d687fe09,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
conv_fc32_mlpPolicy	8975	conv	16,16,16	32	True	300	0.003	0	500	16	8	0	400	70	16	100	1846	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1846.txt	663	21	432	77.147	79-137	71-145	44	-1.2	41	0	gaz(sims=300,cvisit=400,cscale=70)@1	learned(model=1846,27b96c26,gumbel_self,joint,value_shape=129-1,policy_shape=9-32-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1846,27b96c26,gumbel_self,joint,value_shape=129-1,policy_shape=9-32-1)@1
conv_fc32_mlpPolicy	8975	conv	16,16,16	32	True	300	0.003	0	500	16	8	0	400	70	16	400	1847	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1847.txt	748	19	432	77.341	97-119	90-126	46	-1.0	46	0	gaz(sims=300,cvisit=400,cscale=70)@1	learned(model=1847,1df65774,gumbel_self,joint,value_shape=129-1,policy_shape=9-32-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1847,1df65774,gumbel_self,joint,value_shape=129-1,policy_shape=9-32-1)@1
conv_fc32_mlpPolicy	8975	conv	16,16,16	32	True	300	0.003	0	500	16	8	0	400	70	16	1500	1848	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1848.txt	977	19	432	81.148	153-63	147-69	52	0.1	60	0	gaz(sims=300,cvisit=400,cscale=70)@1	learned(model=1848,28b89490,gumbel_self,joint,value_shape=129-1,policy_shape=9-32-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1848,28b89490,gumbel_self,joint,value_shape=129-1,policy_shape=9-32-1)@1
conv_fc32_mlpPolicy	8975	conv	16,16,16	32	True	300	0.003	0	500	16	8	0	400	70	16	4000	1849	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1849.txt	1003	20	432	80.273	155-61	157-59	51	0.7	62	0	gaz(sims=300,cvisit=400,cscale=70)@1	learned(model=1849,a1dea895,gumbel_self,joint,value_shape=129-1,policy_shape=9-32-1)@1	gaz(sims=300,cvisit=400,cscale=70)@1.learned(model=1849,a1dea895,gumbel_self,joint,value_shape=129-1,policy_shape=9-32-1)@1
