# Gumbel-Zero joint training x search-shape sweep (plans/gumbel-mcts-results-5-violet-harbor.md). One row per checkpoint (404 total: 101 draws x 4 rungs).
# cvisit/cscale/m columns are RATING-time search shape only (the gaz(...) serving head). Training self-play never reads them: ml_gumbelzero.cpp calls
# gumbelSearch() directly and never touches g_gumbelCVisit/g_gumbelCScale/g_gumbelRootM, so every row's actual self-play search shape is the fixed engine
# default (cvisit=50, cscale=1.0, m=16), regardless of the swept cvisit/cscale/m values below.
# elo/games/cpu_ms_move/playstyle columns are from a PINNED screening fit against ranking/roster_screening_pool.txt (Docs/ranking-workflow.md Workflow A):
# screening only, not certification -- see the results doc's Caveats section before treating any single row's Elo as a reliable ranking.
# Generated by tools/export_cohort_results.ps1 from:
#   ledger:           D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\gumbelzero_joint_study.csv
#   pinned standings: D:\Downloads\Zeph\Board Games\Breakthrough\ranking\standings_screen_gzjoint_pinned.tsv
#   pinned report:    D:\Downloads\Zeph\Board Games\Breakthrough\ranking\report_screen_gzjoint_pinned.md
block	seed	sims	lr	l2	replaycap	replaywarm	batch	open	cvisit	cscale	m	rung	slot	model	elo	elo_pm	games	cpu_ms_move	wl_as_white	wl_as_black	avg_plies	end_piece_margin	eff_elo_per_log2cpu	nodes_per_move	search_head_id	model_id	full_agent_id
R7	8807	500	0.03	0.0003	2000	32	128	4	400	100	20	1500	1028	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1028.txt	578	23	432	1.397	46-170	72-144	46	-1.1	55	0	gaz(sims=500,cvisit=400,cscale=100,m=20)@1	learned(model=1028,d5949ca3,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=400,cscale=100,m=20)@1.learned(model=1028,d5949ca3,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R7	8807	500	0.03	0.0003	2000	32	128	4	400	100	20	4000	1029	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1029.txt	560	23	432	1.425	43-173	69-147	46	-0.7	53	0	gaz(sims=500,cvisit=400,cscale=100,m=20)@1	learned(model=1029,a184f1cf,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=500,cvisit=400,cscale=100,m=20)@1.learned(model=1029,a184f1cf,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R8	8808	300	0.003	0	8000	128	128	0	1000	130	8	100	1030	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1030.txt	510	25	432	1.222	49-167	48-168	47	-0.9	50	0	gaz(sims=300,cvisit=1000,cscale=130,m=8)@1	learned(model=1030,97388fca,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=1000,cscale=130,m=8)@1.learned(model=1030,97388fca,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R8	8808	300	0.003	0	8000	128	128	0	1000	130	8	400	1031	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1031.txt	668	21	432	0.946	79-137	73-143	46	-0.3	68	0	gaz(sims=300,cvisit=1000,cscale=130,m=8)@1	learned(model=1031,3451d763,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=1000,cscale=130,m=8)@1.learned(model=1031,3451d763,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R8	8808	300	0.003	0	8000	128	128	0	1000	130	8	1500	1032	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1032.txt	726	20	432	1.088	94-122	83-133	52	1.0	72	0	gaz(sims=300,cvisit=1000,cscale=130,m=8)@1	learned(model=1032,0f0df0d7,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=1000,cscale=130,m=8)@1.learned(model=1032,0f0df0d7,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R8	8808	300	0.003	0	8000	128	128	0	1000	130	8	4000	1033	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1033.txt	638	21	432	1.023	86-130	54-162	50	0.1	64	0	gaz(sims=300,cvisit=1000,cscale=130,m=8)@1	learned(model=1033,030eb01c,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=1000,cscale=130,m=8)@1.learned(model=1033,030eb01c,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R9	8809	300	0.003	0	500	16	8	0	800	70	12	100	1034	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1034.txt	592	22	432	0.870	65-151	58-158	42	-1.1	61	0	gaz(sims=300,cvisit=800,cscale=70,m=12)@1	learned(model=1034,30185f66,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=800,cscale=70,m=12)@1.learned(model=1034,30185f66,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R9	8809	300	0.003	0	500	16	8	0	800	70	12	400	1035	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1035.txt	601	22	432	0.994	77-139	49-167	45	-0.7	60	0	gaz(sims=300,cvisit=800,cscale=70,m=12)@1	learned(model=1035,152bf56a,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=800,cscale=70,m=12)@1.learned(model=1035,152bf56a,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R9	8809	300	0.003	0	500	16	8	0	800	70	12	1500	1036	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1036.txt	638	21	432	1.003	88-128	52-164	47	-0.8	64	0	gaz(sims=300,cvisit=800,cscale=70,m=12)@1	learned(model=1036,8ba4344c,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=800,cscale=70,m=12)@1.learned(model=1036,8ba4344c,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
R9	8809	300	0.003	0	500	16	8	0	800	70	12	4000	1037	D:\Downloads\Zeph\Board Games\Breakthrough\models\sweep\slot1037.txt	638	21	432	0.917	79-137	61-155	48	-0.2	65	0	gaz(sims=300,cvisit=800,cscale=70,m=12)@1	learned(model=1037,d02de3c8,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1	gaz(sims=300,cvisit=800,cscale=70,m=12)@1.learned(model=1037,d02de3c8,gumbel_self,joint,value_shape=129-1,policy_shape=9-1)@1
