mode	k	g	half	games_per_agent	opp_per_agent	min_opp	n	rho	worst	rms	max	mean_shift	med_pm	over2pm	rms_openless	rms_opener8	rms_dil20	core_rho	core_worst	champs_same	ab_rho	ab_rms	within	within_opener8	ab_within	ab_within_opener8
random	112	16	B	1588	112	112	198	0.9955	31	20.05	78	1.404	11	0.1818	27.3	15.25	15.12	0.9903	3	2	0.9937	25.14	19.25	15.02	24.93	23.2
random	0	2	A	510.1	255.1	252	198	0.9918	47	27.83	111	7.732	19	0.1515	35.29	18.42	27.18	0.9893	4	2			26.07	18.24		
random	0	4	A	978.2	255.1	252	198	0.9942	37	22.86	97	4.919	14	0.1465	30.14	15.34	20.6	0.989	5	4			22	15.05		
random	0	8	A	1914	255.1	252	198	0.9955	29	19.64	78	2.53	10	0.1919	26.08	12.68	17.78	0.9913	4	5			18.81	12.54		
random	0	16	A	3596	255.1	252	198	0.9969	29	17.85	78	0.6414	7	0.2778	24.36	9.882	16.29	0.9923	3	5			16.67	9.107		
panel	8	2	A	16	8	8	198	0.8925	90	140	442	18.27	110	0.06061	162.2	106.7	145.4	0.9238	11	1	0.7866	185.2	133.3	98.57	180.9	155.9
panel	8	2	B	16	8	8	198	0.8786	92	123.9	422	-3.576	108	0.0404	115.7	121.4	133.9	0.9388	12	0	0.7866	185.2	121	119.4	180.9	155.9
panel	8	4	A	30.67	8	8	198	0.9303	80	114.8	431	25.52	79	0.09596	143.8	83.62	109	0.9368	8	1	0.867	148.8	104.8	68.53	141.2	126.5
panel	8	4	B	31.33	8	8	198	0.9296	71	96.59	415	-7.328	79	0.08586	94.34	99.46	95.89	0.9375	12	2	0.867	148.8	92.76	97.79	141.2	126.5
panel	8	8	A	60	8	8	198	0.9568	56	92.51	467	35.53	56	0.1162	124.8	75.24	66.69	0.9579	8	4	0.9262	110.6	79.09	50.22	100.7	79.88
panel	8	8	B	62	8	8	198	0.9641	42	69.93	271	-7.328	56	0.07071	77.32	59.07	72.14	0.9662	7	2	0.9262	110.6	65.53	58.29	100.7	79.88
panel	8	16	A	118.7	8	8	198	0.9676	53	78.83	309	38.72	40	0.2323	106.9	69.02	49.56	0.9596	6	1	0.9442	97.69	62.59	40.51	84.18	70.32
panel	8	16	B	123.3	8	8	198	0.9719	45	60.76	219	-8.101	40	0.1717	71.12	48.57	60.48	0.9682	8	1	0.9442	97.69	56.61	47.77	84.18	70.32
panel	16	2	A	32	16	16	198	0.9512	66	75.69	317	8.162	74	0.03535	80.68	68.04	77.77	0.9863	5	1	0.9028	118.1	74.6	66.08	112.6	103.3
