rank	elo	pm	games	wins	losses	white_wins	white_losses	black_wins	black_losses	avg_plies	ms_move	cpu_ms_move	nodes_move	eff	active	id
368	709	9	1820	970	850	493	417	477	433	42.3	0.010	0.007	113	243	on	ab(deep=2)@2.classic(chip=100)@2
369	707	9	1820	967	853	485	425	482	428	55.2	91.925	90.469	105341	43	on	ab(deep=6,tt,ord,nodes=200k)@2.learned(model=333,06bdc1f0,tdleaf_self,mlp,shape=30-16-1)@1
370	707	25	196	102	94	46	52	56	42	49.3	5.463	3.696	1358	60	gone	ab(d4,tt,ord,nb200k)@1.learned(s15,af04747f)@1
371	707	9	1840	748	1092	413	507	335	585	49.7	12.328	12.107	41092	52	gone	ab(deep=6,tt,ord,nodes=200k)@1.learned(model=99,59815079,pool_games,lin,shape=129-1)@1.opener(rand,moves=8)@1
372	706	7	3472	1478	1994	761	975	717	1019	56.2	15.246	15.018	54472	51	on	ab(deep=6,tt,ord,nodes=200k)@2.learned(model=95,07792e69,pool_games,lin,shape=129-1)@1.opener(rand,moves=4)@1
373	705	8	2268	1030	1238	473	669	557	569	42.2	0.048	0.075	1163	113	gone	ab(deep=3)@1.classic(chip=100)@2
374	700	9	1820	952	868	532	378	420	490	52.5	1.197	1.195	4571	68	on	ab(deep=4,tt,ord,nodes=200k)@2.learned(model=8,6f1a4264,pool_games,lin,shape=129-1)@1
375	700	8	2336	1033	1303	517	651	516	652	44.3	1.955	3.787	9796	59	gone	ab(deep=6,tt,ord,nodes=200k)@1.classic(chip=100)@2.dil(prob=60,deep=3)@1
376	699	8	2252	1010	1242	510	616	500	626	40.1	6.901	11.244	176919	52	gone	ab(deep=6,noab,nodes=200k)@1.classic(chip=100)@2
377	697	25	196	99	97	50	48	49	49	45.7	1.595	1.183	2146	68	gone	ab(d4,tt,ord,nb200k)@1.learned(s3,8603e15c)@1
378	696	8	2336	1024	1312	517	651	507	661	43.9	5.559	9.314	28386	53	gone	ab(deep=6,tt,ord,nodes=200k)@1.classic(chip=100)@2.dil(prob=14)@1
379	695	7	3472	1439	2033	759	977	680	1056	42.1	7.350	7.213	119919	54	on	ab(deep=6,nodes=200k)@2.classic(chip=100)@2.dil(prob=10)@1
380	695	9	1796	709	1087	358	540	351	547	52.4	0.507	0.493	1883	78	gone	ab(deep=4,tt,ord,nodes=200k)@1.learned(model=3,68364898,pool_games,lin,shape=129-1)@1
381	694	13	960	369	591	168	312	201	279	45.8	0.343	0.318	1240	83	gone	ab(d4,tt,ord,nb200k)@1.learned(s9,e5b3b014)@1
382	692	9	1820	935	885	604	306	331	579	54.2	3.381	3.245	22758	59	on	ab(deep=4)@2.classic(chip=10,wall=3,column=2)@2
383	692	7	3472	1427	2045	805	931	622	1114	50.2	11.675	11.523	42120	51	on	ab(deep=6,tt,ord,nodes=200k)@2.learned(model=99,59815079,pool_games,lin,shape=129-1)@1.opener(rand,moves=8)@1
384	689	9	1796	696	1100	336	562	360	538	57.4	103.858	99.109	14793	41	gone	ab(deep=4)@1.learned(model=78,2fa21eda,position_elo,mlp,mu_shape=129-128-64-1,sigma_shape=129-32-1)@1
385	687	9	1796	692	1104	278	620	414	484	59.3	259.800	248.631	14157	38	gone	ab(deep=4)@1.learned(model=79,18f19059,position_elo,mlp,mu_shape=129-256-128-1,sigma_shape=129-64-1)@1
